Interval in ms:
2000
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max
Bond. US TREASURY .05-31-2016.1.75000|CleanPrice|BID|1.7|1.8|ASK|1.7|1.8|OPEN|1.5|1.5|CLOSE|1.6|1.6
Bond. US TREASURY .05-31-2018.2.37500|CleanPrice|BID|2.3|2.35|ASK|2.3|2.35|OPEN|2.2|2.2|CLOSE|2.4|2.4
#Bond.UST/2Y.12-04-2016.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
#Bond.UST/5Y.12-04-2017.4.75000|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
#Bond.UST/5Y.12-04-2017.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
#Bond.UST.11-15-2018.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
#Bond.UST.11-15-2028.5.25000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
UST201407|Yield|BID|0.01|0.02|ASK|0.01|0.02|OPEN|0.01|0.01|CLOSE|0.01|0.01
UST201410|Yield|BID|0.03|0.04|ASK|0.03|0.04|OPEN|0.04|0.04|CLOSE|0.05|0.05
Future.BRL.BMF.DOL.APR.14|Price|BID|2000|2100|ASK|2200|2300|OPEN|2000|2300|CLOSE|2000|2000
Future.BRL.BMF.DOL.MAR.14|Price|BID|2000|2100|ASK|2200|2300|OPEN|2000|2300|CLOSE|2200|2200
Future.BRL.BMF.DOL.MAY.14|Price|BID|2000|2100|ASK|2200|2300|OPEN|2000|2300|CLOSE|2400|2400
UCJ4UCK4|Price|BID|17.2|17.4|ASK|17.5|17.6|OPEN|17.1|17.8|CLOSE|17.3|17.4
CASADO|Price|BID|2.0|2.1|ASK|2.2|2.3|OPEN|2.1|2.3|CLOSE|2.3|2.3
DOLJ14C001550|Price|BID|1550.00|1551|ASK|1551|1552|OPEN|1550|1550|CLOSE|1551|1551
INEJ14P028000|Spread|BID|28000|29000|ASK|28000|29000|OPEN|28000|28000|CLOSE|28000|28000
D12N14C000900|Yield|BID|9|9.1|ASK|9.2|9.3|OPEN|9.1|9.1|CLOSE|9.2|9.2
BGIK14P006000|Price|BID|60|61|ASK|62|63|OPEN|60|60|CLOSE|61|61
ICFU14C012500|Price|BID|125|126|ASK|125|226|OPEN|125|125|CLOSE|126|126
CASADO|Price|BID|2.0|2.1|ASK|2.2|2.3|OPEN|2.1|2.3|CLOSE|2.3|2.3
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/1Y|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/27M|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/2Y|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/3Y|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/4Y|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
CDS.USD.CREDILIONPAR.SENIOR_UNSECURED/5Y|Yield|BID|4|5|ASK|3|4|OPEN|3.4|4.9|CLOSE|4.1|5.1
FRA.USD.LIBOR.1Mx7M|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
FRA.USD.LIBOR.2Mx8M|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
FRA.USD.LIBOR.3Mx9M|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
FRA.USD.LIBOR.4Mx10M|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
FRA.USD.LIBOR.5Mx11M|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
FRA.USD.LIBOR.6Mx1Y|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Spread.2Y/12-02-2014|Price|BID|0.003|0.004|ASK|0.003|0.004|OPEN|0.00304|0.00409|CLOSE|0.00301|0.0041
Spread.3Y/12-02-2014/12-04-2007|Price|BID|0.003|0.004|ASK|0.003|0.004|OPEN|0.00304|0.00409|CLOSE|0.00301|0.0041
Spread.4Y/12-02-2014/12-04-2007|Price|BID|0.003|0.004|ASK|0.003|0.004|OPEN|0.00304|0.00409|CLOSE|0.00301|0.0041
Spread.5Y/12-04-2017|Price|BID|0.004|0.005|ASK|0.004|0.005|OPEN|0.00404|0.00509|CLOSE|0.00401|0.0051
Spread.10Y/11-15-2018|Price|BID|0.005|0.006|ASK|0.005|0.006|OPEN|0.0054|0.00609|CLOSE|0.00501|0.00601
Bond.UST/3M.Jul.2014|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST/6M.2014|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST/2Y.12-04-2016.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST/5Y.12-04-2017.4.75000|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST/5Y.12-04-2017.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST.11-15-2018.4.75000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
Bond.UST.11-15-2028.5.25000.ISINUS91282274V18|CleanPrice|BID|1|1.01|ASK|1.01|1.02|OPEN|1.0115|1.0212|CLOSE|1.01|1.01225
